city,country,venue,opening_act(s),revenue,tour,tickets_sold
Singapore,Singapore,Singapore Indoor Stadium,�,3217569,The_1989_World_Tour,"17,726 "
Singapore,Singapore,Singapore Indoor Stadium,�,3217569,The_1989_World_Tour,"17,726 "
Shanghai,China,Mercedes-Benz Arena,�,5917348,The_1989_World_Tour,"37,758 "
Shanghai,China,Mercedes-Benz Arena,�,5917348,The_1989_World_Tour,"37,758 "
Shanghai,China,Mercedes-Benz Arena,�,5917348,The_1989_World_Tour,"37,758 "
Sydney,Australia,ANZ Stadium,Vance Joy,6571683,The_1989_World_Tour,"75,980 "
Brisbane,Australia,Suncorp Stadium,Vance Joy,4759471,The_1989_World_Tour,"46,881 "
Adelaide,Australia,Adelaide Entertainment Centre,Vance Joy,2407499,The_1989_World_Tour,"20,090 "
Adelaide,Australia,Adelaide Entertainment Centre,Vance Joy,2407499,The_1989_World_Tour,"20,090 "
Melbourne,Australia,AAMI Park,Vance Joy,10421553,The_1989_World_Tour,"98,136 "
Melbourne,Australia,AAMI Park,Vance Joy,10421553,The_1989_World_Tour,"98,136 "
Melbourne,Australia,AAMI Park,Vance Joy,10421553,The_1989_World_Tour,"98,136 "
Glendale,United States,University of Phoenix Stadium,"Camila Cabello
Charli XCX",7214478,Reputation_Stadium_Tour,"59,157 "
Santa Clara,United States,Levi's Stadium,"Camila Cabello
Charli XCX",14006963,Reputation_Stadium_Tour,"107,550 "
Santa Clara,United States,Levi's Stadium,"Camila Cabello
Charli XCX",14006963,Reputation_Stadium_Tour,"107,550 "
Pasadena,United States,Rose Bowl,"Camila Cabello
Charli XCX",16251980,Reputation_Stadium_Tour,"118,084 "
Pasadena,United States,Rose Bowl,"Camila Cabello
Charli XCX",16251980,Reputation_Stadium_Tour,"118,084 "
Seattle,United States,CenturyLink Field,Charli XCX,8672219,Reputation_Stadium_Tour,"56,021 "
Denver,United States,Sports Authority Field at Mile High,"Camila Cabello
Charli XCX",7926366,Reputation_Stadium_Tour,"57,140 "
Chicago,United States,Soldier Field,"Camila Cabello
Charli XCX",14576697,Reputation_Stadium_Tour,"105,208 "
Chicago,United States,Soldier Field,"Camila Cabello
Charli XCX",14576697,Reputation_Stadium_Tour,"105,208 "
Manchester,England,Etihad Stadium,"Camila Cabello
Charli XCX",6169724,Reputation_Stadium_Tour,"77,258 "
Manchester,England,Etihad Stadium,"Camila Cabello
Charli XCX",6169724,Reputation_Stadium_Tour,"77,258 "
Dublin,Ireland,Croke Park,"Camila Cabello
Charli XCX",8567769,Reputation_Stadium_Tour,"133,034 "
Dublin,Ireland,Croke Park,"Camila Cabello
Charli XCX",8567769,Reputation_Stadium_Tour,"133,034 "
London,England,Wembley Stadium,"Camila Cabello
Charli XCX",12214933,Reputation_Stadium_Tour,"143,427 "
London,England,Wembley Stadium,"Camila Cabello
Charli XCX",12214933,Reputation_Stadium_Tour,"143,427 "
Louisville,United States,Cardinal Stadium,"Camila Cabello
Charli XCX",4928219,Reputation_Stadium_Tour,"52,138 "
Columbus,United States,Ohio Stadium,"Camila Cabello
Charli XCX",6606529,Reputation_Stadium_Tour,"62,897 "
Landover,United States,FedExField,"Camila Cabello
Charli XCX",11396004,Reputation_Stadium_Tour,"95,672 "
Landover,United States,FedExField,"Camila Cabello
Charli XCX",11396004,Reputation_Stadium_Tour,"95,672 "
Philadelphia,United States,Lincoln Financial Field,"Camila Cabello
Charli XCX",11951047,Reputation_Stadium_Tour,"107,378 "
Philadelphia,United States,Lincoln Financial Field,"Camila Cabello
Charli XCX",11951047,Reputation_Stadium_Tour,"107,378 "
Cleveland,United States,FirstEnergy Stadium,"Camila Cabello
Charli XCX",5148757,Reputation_Stadium_Tour,"51,323 "
East Rutherford,United States,MetLife Stadium,"Camila Cabello
Charli XCX",22031386,Reputation_Stadium_Tour,"165,654 "
East Rutherford,United States,MetLife Stadium,"Camila Cabello
Charli XCX",22031386,Reputation_Stadium_Tour,"165,654 "
East Rutherford,United States,MetLife Stadium,"Camila Cabello
Charli XCX",22031386,Reputation_Stadium_Tour,"165,654 "
Foxborough,United States,Gillette Stadium,"Camila Cabello
Charli XCX",21779846,Reputation_Stadium_Tour,"174,764 "
Foxborough,United States,Gillette Stadium,"Camila Cabello
Charli XCX",21779846,Reputation_Stadium_Tour,"174,764 "
Foxborough,United States,Gillette Stadium,"Camila Cabello
Charli XCX",21779846,Reputation_Stadium_Tour,"174,764 "
Toronto,Canada,Rogers Centre,"Camila Cabello
Charli XCX",11177000,Reputation_Stadium_Tour,"100,310 "
Toronto,Canada,Rogers Centre,"Camila Cabello
Charli XCX",11177000,Reputation_Stadium_Tour,"100,310 "
Pittsburgh,United States,Heinz Field,"Camila Cabello
Charli XCX",6230876,Reputation_Stadium_Tour,"56,445 "
Atlanta,United States,Mercedes-Benz Stadium,"Camila Cabello
Charli XCX",18089415,Reputation_Stadium_Tour,"116,746 "
Atlanta,United States,Mercedes-Benz Stadium,"Camila Cabello
Charli XCX",18089415,Reputation_Stadium_Tour,"116,746 "
Tampa,United States,Raymond James Stadium,"Camila Cabello
Charli XCX",7244264,Reputation_Stadium_Tour,"55,909 "
Miami Gardens,United States,Hard Rock Stadium,"Camila Cabello
Charli XCX",7072164,Reputation_Stadium_Tour,"47,818 "
Nashville,United States,Nissan Stadium,"Camila Cabello
Charli XCX",9007179,Reputation_Stadium_Tour,"56,112 "
Detroit,United States,Ford Field,"Camila Cabello
Charli XCX",6597852,Reputation_Stadium_Tour,"49,464 "
Minneapolis,United States,U.S. Bank Stadium,"Camila Cabello
Charli XCX",10242024,Reputation_Stadium_Tour,"98,774 "
Minneapolis,United States,U.S. Bank Stadium,"Camila Cabello
Charli XCX",10242024,Reputation_Stadium_Tour,"98,774 "
Kansas City,United States,Arrowhead Stadium,"Camila Cabello
Charli XCX",6730138,Reputation_Stadium_Tour,"58,611 "
Indianapolis,United States,Lucas Oil Stadium,"Camila Cabello
Charli XCX",6531245,Reputation_Stadium_Tour,"55,729 "
St. Louis,United States,The Dome at America's Center,"Camila Cabello
Charli XCX",4884054,Reputation_Stadium_Tour,"47,831 "
New Orleans,United States,Mercedes-Benz Superdome,"Camila Cabello
Charli XCX",6491546,Reputation_Stadium_Tour,"53,172 "
Houston,United States,NRG Stadium,"Camila Cabello
Charli XCX",9350275,Reputation_Stadium_Tour,"53,800 "
Arlington,United States,AT&T Stadium,"Camila Cabello
Charli XCX",15006157,Reputation_Stadium_Tour,"105,002 "
Arlington,United States,AT&T Stadium,"Camila Cabello
Charli XCX",15006157,Reputation_Stadium_Tour,"105,002 "
Perth,Australia,Optus Stadium,"Charli XCX
Broods",4153658,Reputation_Stadium_Tour,"50,891 "
Melbourne,Australia,Marvel Stadium,"Charli XCX
Broods",6755570,Reputation_Stadium_Tour,"63,027 "
Sydney,Australia,ANZ Stadium,"Charli XCX
Broods",7686564,Reputation_Stadium_Tour,"72,805 "
Brisbane,Australia,The Gabba,"Charli XCX
Broods",4338127,Reputation_Stadium_Tour,"43,907 "
Auckland,New Zealand,Mount Smart Stadium,"Charli XCX
Broods",3617593,Reputation_Stadium_Tour,"35,749 "
Tokyo,Japan,Tokyo Dome,Charli XCX,14859847,Reputation_Stadium_Tour,"100,109 "
Tokyo,Japan,Tokyo Dome,Charli XCX,14859847,Reputation_Stadium_Tour,"100,109 "
